City,Latitude,Longitude
bronson,29.4475,-82.6425
brooker,29.8886111,-82.3327778
brooklyn,30.3233333,-81.6747222
brookridge,28.5508333,-82.4922222
brookside,27.7672222,-80.5516667
brooksville,28.555,-82.3880556
broscan,29.6816667,-83.3436111
broward estates,26.1252778,-80.1936111
broward gardens,26.0569444,-80.2077778
broward highlands,26.2980556,-80.1111111
browardale,26.1283333,-80.1927778
brown,29.9947222,-82.4266667
browns farm,26.5611111,-80.5163889
browns still,29.9841667,-82.4908333
brownsdale,30.8822222,-87.2255556
brownsville,30.425,-87.2519444
browntown,30.9822222,-85.4672222
brownville,27.2977778,-81.8241667
broxson,30.5675,-86.9219444
bruce,30.4722222,-85.9652778
bruceville,29.2336111,-81.9472222
bruing,28.1355556,-82.4638889
bryant,26.8494444,-80.6166667
bryceville,30.3844444,-81.9388889
bucell junction,30.0694444,-83.5558333
buchanan,27.4116667,-81.7927778
buckhead ridge,27.13,-80.8938889
buckhorn,30.1355556,-83.915
buckingham,26.6747222,-81.7322222
buckingham west,29.6583333,-82.4352778
buckville,30.1288889,-83.2925
buda,29.7588889,-82.6261111
buena vista,30.8794444,-85.035
buenaventura lakes,28.3355556,-81.3533333
buffalo bluff,29.5794444,-81.6738889
bunche park,25.9202778,-80.2372222
bunker,30.3872222,-86.0827778
bunker donation,30.5311111,-85.8694444
bunker hill,27.5933333,-82.1869444
bunnell,29.4658333,-81.2580556
burbank,29.2905556,-82.0011111
burnetts lake,29.7872222,-82.4777778
burnt store marina,26.7647222,-82.0511111
bushnell,28.6647222,-82.1130556
butler beach,29.7980556,-81.2672222
byrd,29.6775,-81.4611111
byrneville,30.9661111,-87.3269444
cabbage grove,30.2094444,-83.8738889
cadillac,29.7413889,-82.5388889
cairo,30.3047222,-85.4772222
caleb,30.2766667,-81.8319444
callahan,30.5619444,-81.8308333
callaway,30.1527778,-85.57
calphos,28.9119444,-82.3844444
cambon,30.3458333,-81.8063889
cameron city,28.7566667,-81.2188889
camp echockotee,30.1522222,-81.7272222
camp ocala,29.1075,-81.6311111
camp roosevelt,29.1458333,-82.1155556
campbell,28.2586111,-81.4566667
campbellton,30.9491667,-85.4022222
camps,28.5911111,-82.4308333
camps still,30.4322222,-82.8672222
campton,30.8733333,-86.5183333
campville,29.6661111,-82.1186111
cana,27.2833333,-80.4933333
canaan,28.79,-81.2227778
canal point,26.8588889,-80.6338889
canaveral acres,28.4166667,-80.8347222
candler,29.0711111,-81.9683333
caney creek,30.8997222,-86.2086111
cannon town,30.8547222,-86.6741667
canova beach,28.1388889,-80.5805556
cantonment,30.6083333,-87.34
cape canaveral,28.4055556,-80.605
cape coral,26.5625,-81.9497222
cape haze,26.85,-82.2944444
capitola,30.4508333,-84.0880556
capps,30.4102778,-83.9111111
captiva,26.5216667,-82.1894444
cara,29.3444444,-82.2630556
carbur,29.9180556,-83.4280556
cardwell,26.7655556,-80.66
caribbean key,26.3997222,-80.0725
carlson,28.8241667,-82.1819444
carlton,27.3430556,-80.4227778
carlton village,28.9322222,-81.8855556
carnestown,25.9105556,-81.3644444
carol city,25.9402778,-80.2458333
carrabelle,29.8530556,-84.6644444
carrabelle beach,29.8319444,-84.6841667
carrabelle lighthouse,29.8272222,-84.7011111
carraway,29.7088889,-81.7866667
carrollwood,28.0497222,-82.4930556
carrollwood village,28.0672222,-82.5211111
carters corner,28.0438889,-81.8586111
carver,28.6569444,-82.1025
carver heights,26.3147222,-80.1038889
carver manor,30.3777778,-81.7283333
carver ranches,25.9880556,-80.1925
carver village,26.2519444,-80.1436111
cary,30.4625,-81.7844444
carysfort yacht harbor,25.2527778,-80.3105556
caryville,30.7730556,-85.8141667
casa blanco,30.5161111,-83.8877778
casa cola,29.9719444,-81.3463889
cassadaga,28.9661111,-81.2361111
casselberry,28.6775,-81.3280556
cassia,28.8891667,-81.4655556
castle hill,28.5455556,-81.6844444
catawba,28.6883333,-82.3766667
caxambas,25.9105556,-81.6980556
cayo costa,26.6186111,-82.2258333
cayo pelau,26.7755556,-82.2208333
cedar creek,29.2736111,-81.9019444
cedar grove,30.1708333,-85.6252778
cedar hammock,27.4666667,-82.5833333
cedar hills,30.2627778,-81.7475
cedar hills estates,30.2772222,-81.7455556
cedar key,29.1383333,-83.0352778
cedar landing,29.7238889,-81.2538889
cedar point,30.4436111,-81.4638889
celebration,28.325,-81.5333333
center hill,28.6497222,-81.9927778
center park,30.29,-81.5013889
center ridge,30.8025,-86.0947222
centerville,30.5569444,-84.1763889
central city,30.1880556,-84.9258333
century,30.9730556,-87.2638889
century village,26.7136111,-80.1291667
cerny heights,30.4438889,-87.3166667
cerrogordo,30.8316667,-85.8875
chain o'lakes,28.9836111,-81.5119444
chaires,30.4361111,-84.1175
chancey,30.2402778,-83.2605556
chanticleer,30.3208333,-87.3952778
chantilly acres,29.7138889,-82.4180556
chapel hill,26.4977778,-80.0744444
chapman,28.1091667,-82.4602778
charleston park,26.7052778,-81.5805556
charlotte harbor,26.9580556,-82.0672222
charlotte park,26.9097222,-82.0541667
chaseville,30.3861111,-81.6152778
chason,30.535,-85.1919444
chassahowitzka,28.7127778,-82.5744444
chatham,25.7138889,-81.2441667
chatmar,29.0669444,-82.4530556
chattahoochee,30.705,-84.8430556
cherry lake,30.55,-83.4277778
chester,30.6827778,-81.5402778
cheval,28.1483333,-82.5147222
chiefland,29.4747222,-82.86
childs,27.2094444,-81.345
chipley,30.7816667,-85.5386111
chipola,30.505,-85.1183333
chipola terrace,30.8272222,-85.1658333
choctaw,30.3672222,-86.1061111
choctaw bay estates,30.3769444,-86.1366667
choctaw beach,30.4711111,-86.3433333
chokoloskee,25.8125,-81.3622222
christmas,28.5361111,-81.0177778
chuluota,28.6416667,-81.1236111
chumuckla,30.7763889,-87.2372222
chumuckla springs,30.8336111,-87.2961111
cinco bayou,30.4219444,-86.6094444
cisky park,28.7944444,-81.8494444
citra,29.4116667,-82.11
citronelle,28.9783333,-82.5688889
citrus hills,28.8880556,-82.4327778
citrus park,28.0780556,-82.57
citrus ridge,28.3458333,-81.6736111
citrus springs,28.9972222,-82.4708333
city point,28.4058333,-80.7555556
clair-mel city,27.9308333,-82.3688889
clara,29.7969444,-83.3202778
clarcona,28.6125,-81.4988889
clark,29.7730556,-82.6261111
clarksville,30.4366667,-85.1861111
clarkwild,28.0508333,-82.3197222
clay island,28.6636111,-81.6961111
clay landing,29.7744444,-81.5619444
clay sink,28.4722222,-82.0669444
clayno,29.9061111,-82.2502778
clear springs,30.8736111,-86.57
clearwater,27.9655556,-82.8002778
clearwater beach,27.9769444,-82.8280556
clermont,28.5491667,-81.7730556
cleveland,26.9613889,-81.9841667
clewiston,26.7538889,-80.9338889
clifton,28.7088889,-81.2694444
cliftonville,30.0444444,-82.3922222
clinch,29.5741667,-82.3922222
clinton heights,28.3294444,-82.1897222
clio,30.3191667,-84.8261111
cloud lake,26.6758333,-80.0741667
cluster springs,30.8383333,-86.2052778
coachman,27.9775,-82.7380556
cobb cross roads,30.9805556,-85.5475
cobbtown,30.8827778,-87.1197222
cocoa,28.3858333,-80.7422222
cocoa beach,28.3197222,-80.6077778
coconut,26.3991667,-81.8397222
coconut creek,26.2513889,-80.1791667
coconut creek park,26.2416667,-80.1825
coconut grove,25.7122222,-80.2572222
cody,30.3605556,-84.0511111
codys corner,29.3430556,-81.3111111
coker,27.565,-81.815
coleman,28.7994444,-82.0702778
college park,26.3241667,-80.1063889
collier estates,26.1994444,-80.1408333
collier manor,26.2625,-80.1091667
collier park,26.2338889,-80.1594444
collins mill,30.9658333,-85.5311111
collins park estates,27.3716667,-80.3191667
columbia,30.0736111,-82.6958333
combee settlement,28.0580556,-81.9055556
compass lake,30.5925,-85.3927778
conant,28.9375,-81.9280556
conch key,24.79,-80.8897222
concord,30.6575,-84.365
confer,28.955,-81.6438889
conner,29.24,-81.9613889
conners ford,30.3261111,-84.8638889
connersville,27.9088889,-81.7863889
conrad,29.1588889,-81.3830556
conrock,28.5541667,-82.3416667
conway,28.5025,-81.3308333
cooglers beach,28.5530556,-82.6502778
cook,30.1238889,-85.5177778
cooks hammock,29.9294444,-83.2766667
cooper city,26.0569444,-80.2719444
cooper l hills estates,29.6511111,-81.9141667
coopertown,25.7602778,-80.5611111
copeland,25.9533333,-81.3561111
copeland settlement,29.6758333,-82.2444444
coquina gables,29.8427778,-81.2655556
coral estates,26.1602778,-80.1277778
coral gables,25.7211111,-80.2686111
coral gardens,27.1394444,-80.2113889
coral heights,26.1794444,-80.1291667
coral hills,26.1880556,-80.1219444
coral manor,26.3,-80.1038889
coral ridge,26.16,-80.11
coral ridge isles,26.1925,-80.1180556
coral springs,26.2708333,-80.2708333
coral terrace,25.7455556,-80.3047222
coral villas,26.2922222,-80.0833333
coral way village,25.7430556,-80.3275
coral woods,26.1669444,-80.1275
corey,30.3630556,-84.1819444
corkscrew,26.4716667,-81.5594444
cornwell,27.3783333,-81.0969444
coronet,27.9872222,-82.0808333
cortez,27.4688889,-82.6863889
cortez estates,27.4194444,-80.3530556
cosme,28.1086111,-82.5727778
cosmo,30.3644444,-81.5155556
cosson mill,30.7,-86.1811111
cottage hill,30.6325,-87.32
cotton plant,29.18,-82.3186111
cottondale,30.7969444,-85.3766667
couch,30.3833333,-85.4355556
council,26.3755556,-81.8038889
country club,25.9477778,-80.3172222
country club isles,26.2491667,-80.0933333
country club manor,28.7905556,-81.2838889
country club trail,26.5272222,-80.1202778
country walk,25.6336111,-80.4325
county club acres,26.45,-80.1277778
courtenay,28.4566667,-80.7097222
cove,30.1455556,-85.6491667
cove springs,28.1208333,-82.7680556
covington,30.2683333,-83.8308333
cow creek,28.8372222,-81.0277778
cox,30.6013889,-85.1391667
cox corner,27.8788889,-81.7611111
crackertown,29.0361111,-82.6866667
craggs,29.7786111,-82.7411111
crandall,30.7208333,-81.6222222
crawford,30.5086111,-81.8811111
crawfordville,30.1758333,-84.3752778
creels,29.8216667,-84.9091667
creighton,28.8872222,-80.9222222
crescent beach,29.7686111,-81.2538889
crescent city,29.43,-81.5108333
crescent city station,29.415,-81.5333333
cresthaven,26.2688889,-80.1077778
crestview,30.7619444,-86.5705556
crewsville,27.4194444,-81.5825
cromanton,30.1161111,-85.635
crooked lake park,27.8288889,-81.5841667
croom,28.5875,-82.2277778
cross bayou,27.8575,-82.7338889
cross city,29.6341667,-83.1252778
cross creek,29.4861111,-82.1652778
crossley,29.5888889,-81.9933333
crossroads,30.4919444,-83.1341667
crown point,28.5880556,-81.5672222
crows bluff,29.0075,-81.3894444
crystal beach,28.0911111,-82.78
crystal heights,28.7575,-81.3344444
crystal lake,26.2852778,-80.1402778
crystal lake shores,28.7588889,-81.3233333
crystal point,28.7686111,-81.3280556
crystal river,28.9022222,-82.5927778
crystal springs,28.1811111,-82.1577778
cubitis,27.2597222,-81.8408333
cudjoe key,24.6711111,-81.4986111
cummings,27.7972222,-80.4622222
cumpressco,28.3586111,-82.0394444
cunningham estates,28.2638889,-82.2072222
curlew,28.0527778,-82.7430556
curtis,29.7372222,-82.8986111
curtis mill,30.0083333,-84.5261111
cutler,25.6147222,-80.3108333
cutler ridge,25.5802778,-80.3469444
cutlers,28.8625,-82.5830556
cutter bank,25.3777778,-80.2638889
cypress,30.7130556,-85.0738889
cypress creek,30.5733333,-82.7941667
cypress gardens,27.9936111,-81.6902778
cypress harbor,26.2144444,-80.12
cypress isles estates,26.2213889,-80.1113889
cypress lake,26.5377778,-81.8994444
cypress lake estates,29.0605556,-81.2611111
cypress lakes,26.7275,-80.1230556
cypress point,29.6977778,-81.5902778
cypress quarters,27.2516667,-80.8141667
dade city,28.3644444,-82.1961111
dahlberg,26.6697222,-80.7002778
dahoma,30.4697222,-81.9086111
daisy lake,29.0244444,-81.3791667
dalhousie acres,28.9016667,-81.6302778
dalkeith,30.0055556,-85.1541667
dallas,28.9708333,-82.0411111
dallus creek landing,29.7211111,-83.4866667
dames point,30.3888889,-81.5586111
dames point manor,30.3963889,-81.5672222
dana,29.9486111,-82.3872222
dania beach,26.0519444,-80.1441667
danks corner,29.0108333,-82.12
danville,30.0011111,-82.3713889
darby,28.3608333,-82.3583333
darlington,30.9436111,-86.0575
darsey,30.6877778,-84.3797222
davenport,28.1611111,-81.6019444
davie,26.0625,-80.2333333
davis beach,29.9661111,-85.4625
davis shores,29.8969444,-81.2972222
day,30.1938889,-83.2913889
daysville,29.6275,-82.3697222
daytona beach,29.2105556,-81.0230556
daytona beach shores,29.1758333,-80.9830556
daytona highridge estates,29.135,-81.1347222
daytona park estates,29.0544444,-81.2463889
de funiak springs,30.7208333,-86.1152778
de land,29.0280556,-81.3033333
de land highlands,29.0705556,-81.2644444
de leon springs,29.1191667,-81.3516667
de leon springs heights,29.14,-81.32
de soto city,27.4422222,-81.4052778
debary,28.8827778,-81.3088889
deadman landing,29.2616667,-81.5347222
deanville,29.3427778,-81.3527778
deem city,26.3377778,-80.5411111
deep creek,30.3727778,-82.6230556
deep lake,26.0422222,-81.3441667
deer park,28.1619444,-82.4608333
deerfield beach,26.3180556,-80.1
deering bay,25.6377778,-80.2905556
deerland,30.7516667,-86.4358333
deerwood club,30.2308333,-81.5497222
dekle beach,29.8488889,-83.6194444
del rio,28.0088889,-82.4
delespine,28.4902778,-80.7794444
dell,30.1363889,-83.24
dellwood,30.8236111,-85.0497222
delray beach,26.4611111,-80.0730556
delray gardens,26.4797222,-80.1227778
delray shores,26.4708333,-80.0975
delta,26.8580556,-80.2255556
deltona,28.9002778,-81.2638889
delwood beach,30.1444444,-85.7133333
denaud,26.7419444,-81.5102778
dennet,30.5361111,-83.6113889
denver,29.4041667,-81.5269444
desoto lakes,27.3711111,-82.49
destin,30.3933333,-86.4958333
dewey park,30.2316667,-81.7027778
dickert,30.3391667,-83.0805556
dills,30.6230556,-83.7722222
dinsmore,30.4058333,-81.7447222
dirego park,30.1916667,-85.6394444
dismal key,25.8902778,-81.5575
dixie,28.4347222,-82.3027778
dixie ranch acres,27.3233333,-80.9077778
dixietown,29.7077778,-82.9844444
dixon,30.7394444,-86.1325
doctor phillips,28.4491667,-81.4925
doctors inlet,30.1,-81.7763889
dogtown,30.6786111,-84.5033333
dona vista,28.8944444,-81.6875
donner,30.3366667,-81.4116667
doral,25.8191667,-80.3555556
dorcas,30.7980556,-86.4158333
douglas city,30.5938889,-84.6416667
douglass crossroads,30.6875,-85.9766667
dover,27.9938889,-82.2197222
dowling park,30.2433333,-83.2363889
dreamworld,28.7838889,-81.2761111
drew park,27.9836111,-82.5133333
drexel,28.2425,-82.46
drifton,30.4952778,-83.8794444
driftwood acres,26.0277778,-80.2266667
driftwood estates,26.0327778,-80.2408333
druid park,28.7766667,-81.2772222
dublin,28.7891667,-81.6269444
duck key,24.7705556,-80.9122222
duette,27.59,-82.1230556
dukes,29.9661111,-82.4075
dummit grove,28.7066667,-80.7280556
dundee,28.0222222,-81.6194444
dune allen beach,30.3527778,-86.2422222
dunedin,28.0194444,-82.7719444
dunedin isles,28.0275,-82.7905556
dunes road,26.4841667,-80.1186111
dunn creek,30.4861111,-81.5908333
dunnellon,29.0488889,-82.4611111
dupont,29.4266667,-81.2227778
dupont center,29.7561111,-81.3133333
dupree gardens,28.2375,-82.4469444
durant,27.9083333,-82.1863889
durant estates,29.6563889,-82.4047222
durbin,30.0872222,-81.4613889
dutton still,28.4811111,-82.1505556
duval,30.4847222,-81.6219444
dyal,30.6211111,-81.8702778
dynamite docks,25.275,-80.2930556
eagle island,27.4419444,-80.8436111
eagle lake,27.9780556,-81.7566667
ealum,30.8402778,-86.2436111
earleton,29.7436111,-82.1036111
early,30.0283333,-85.3119444
early bird,29.2155556,-82.3677778
east gate park,26.1563889,-80.1969444
east lake,28.1105556,-82.695
east mandarin,30.1530556,-81.6413889
east mayport,30.3794444,-81.4072222
east milton,30.615,-87.0216667
east mims,28.6588889,-80.8280556
east mulberry,27.8944444,-81.9652778
east naples,26.1380556,-81.7666667
east palatka,29.6580556,-81.5986111
east pensacola heights,30.4286111,-87.18
east perrine,25.6083333,-80.3391667
east silver springs shore,29.0416667,-81.8755556
east tampa,27.8641667,-82.3802778
eastern shores,25.9333333,-80.1358333
eastgate,27.4416667,-82.5061111
eastlake weir,29.02,-81.9083333
eastpoint,29.7363889,-84.8786111
eastport,30.4230556,-81.5991667
eastway park,26.2936111,-80.0908333
eastwood,28.0238889,-81.6705556
eaton park,28.0083333,-81.9077778
eatonville,28.6144444,-81.3808333
eau gallie,28.1288889,-80.6305556
ebb,30.3533333,-83.6519444
ebenezer,30.0958333,-82.5708333
ebro,30.4477778,-85.8741667
econfina,30.4119444,-85.5358333
eddy,30.5433333,-82.3388889
eden,27.2763889,-80.2430556
edgar,29.5947222,-81.9508333
edgeville,27.3141667,-82.1083333
edgewater,28.9886111,-80.9025
edgewater gulf beach,30.1861111,-85.8208333
edgewater junction,28.9766667,-80.9466667
edgewood,28.4858333,-81.3725
edison,27.865,-82.0666667
edison center,25.8333333,-80.2013889
eggleston heights,30.3405556,-81.5983333
eglin village,30.4627778,-86.5394444
egypt lake,28.0166667,-82.4955556
egypt lake-leto,28.0166667,-82.4955556
ehren,28.2661111,-82.4480556
el chico,24.5980556,-81.6611111
el destinado,30.5052778,-84.2775
el jobean,26.9641667,-82.2108333
el portal,25.855,-80.1933333
elder springs,28.7408333,-81.2933333
eldora,28.9088889,-80.82
eldorado,28.7958333,-81.825
eldridge,29.2111111,-81.4575
eleanor,30.9647222,-85.5533333
electra,29.1269444,-81.8877778
eleven mile,29.71,-85.1538889
elfers,28.2163889,-82.7225
elkton,29.7827778,-81.4261111
ellaville,30.9747222,-85.3766667
ellenton,27.5213889,-82.5277778
ellerbee,30.1052778,-82.2055556
ellerslie,28.3102778,-82.1491667
ellinor village,29.2797222,-81.0411111
ellis,30.9325,-85.2361111
ellis church,30.965,-85.2397222
ellisville,30.0036111,-82.5975
ellsworth junction,28.7633333,-81.7258333
ellzey,29.3108333,-82.7936111
eloise,27.9944444,-81.7383333
eloise woods,28.0027778,-81.6966667
elwood,29.9986111,-81.5433333
elwood park,27.4688889,-82.5061111
emathia,29.2825,-82.2922222
emporia,29.1988889,-81.4683333
enchanted park,30.2455556,-81.7702778
englewood,26.9616667,-82.3527778
enon,30.7927778,-87.5244444
ensley,30.5186111,-87.2727778
enterprise,28.8688889,-81.2669444
eridu,30.3016667,-83.7472222
erie,27.5708333,-82.4783333
escambia farms,30.9577778,-86.6330556
espanola,29.5069444,-81.3097222
estero,26.4377778,-81.8069444
estiffanulga,30.3080556,-85.0325
esto,30.9872222,-85.6461111
ethel,28.8019444,-81.4436111
eucheeanna,30.6455556,-86.045
eugene,29.6113889,-83.0880556
eureka,29.3719444,-81.9047222
eustis,28.8525,-81.6855556
eva,28.3261111,-81.8336111
evans pines,27.9291667,-80.4930556
evans subdivision,28.7763889,-81.2683333
evansdale,28.7480556,-81.3194444
everglades city,25.8597222,-81.3805556
evergreen,30.7,-81.7522222
evinston,29.4866667,-82.2313889
ewell,27.8930556,-81.925
facil,30.3655556,-82.7916667
fair gate,26.2280556,-80.2102778
fairbanks,29.7244444,-82.2641667
fairfield,29.3666667,-82.2513889
fairlane estates,28.7530556,-81.2969444
fairlawn,26.2991667,-80.1005556
fairview,30.4511111,-82.5188889
fairview shores,28.5908333,-81.3944444
fairvilla,28.5786111,-81.4088889
fakahatchee,25.8680556,-81.4894444
falmouth,30.3627778,-83.1313889
fanlew,30.2713889,-84.0575
fanning springs,29.5905556,-82.9294444
farm hill,30.6136111,-87.3536111
farmdale,30.0177778,-85.4697222
farmton,28.8466667,-81.0608333
fatio,28.9808333,-81.3322222
favoretta,29.3666667,-81.175
fawn ford,30.305,-84.9144444
feather sound,27.9094444,-82.6572222
federal point,29.7477778,-81.5444444
fedhaven,27.8569444,-81.4127778
felda,26.5394444,-81.4358333
felicia,28.9297222,-82.3955556
felkel,30.5969444,-84.1177778
fellowship,29.2469444,-82.2922222
fellowship park,30.0216667,-81.7222222
fellsmere,27.7675,-80.6016667
fenholloway,30.0772222,-83.4969444
fern crest village,26.0888889,-80.2194444
fern park,28.6488889,-81.3513889
fernandina beach,30.6694444,-81.4627778
ferndale,28.6216667,-81.7036111
ferry pass,30.51,-87.2125
festus,30.6013889,-83.9688889
fidelis,30.9361111,-87.0241667
fiftone,30.2488889,-81.9961111
fincher,30.66,-83.9661111
fish creek,29.7861111,-83.5722222
fish hawk,27.8502778,-82.2111111
fisher corner,30.3813889,-85.2152778
fisher island,25.7605556,-80.1402778
fishermens village,26.9283333,-82.0616667
fivay junction,28.3236111,-82.5186111
five points,30.2088889,-82.6375
flagami,25.7619444,-80.3163889
flagler beach,29.4747222,-81.1272222
flamingo,25.1413889,-80.9255556
flamingo bay,26.5716667,-82.1041667
flamingo village,26.1566667,-80.1816667
fleetwood manor,26.0166667,-80.2222222
flemington,29.4075,-82.2977778
fletcher,29.7408333,-82.985
flora heights,28.7672222,-81.2655556
florahome,29.7325,-81.8836111
floral bluff,30.3427778,-81.6080556
floral city,28.7497222,-82.2969444
florence,30.5936111,-84.4827778
florence villa,28.0433333,-81.7169444
floresta,26.3536111,-80.1025
floresta estates,26.2988889,-80.0875
florida beach,30.2008333,-85.8513889
florida city,25.4475,-80.4794444
florida gardens,26.6088889,-80.1705556
florida hills,28.9463889,-81.4255556
florida ridge,27.58,-80.3869444
floridale,30.6813889,-86.8369444
floridana beach,27.9461111,-80.4958333
floridatown,30.5811111,-87.1547222
floritan,27.9030556,-81.6247222
flowersville,30.9536111,-86.3383333
fluffy landing,30.4308333,-86.1361111
foley,30.0691667,-83.5308333
footman,28.3302778,-80.6908333
fordville,27.3377778,-82.4161111
forest city,28.6613889,-81.4191667
forest grove,29.7416667,-82.5822222
forest highlands,30.7069444,-86.3838889
forest hills,29.0027778,-81.4261111
forest island park,26.4911111,-81.8611111
forest lakes park,29.0783333,-81.8375
fort barrancas,30.3477778,-87.2972222
fort basinger,27.3619444,-81.0572222
fort braden,30.4227778,-84.5377778
fort brook landing,29.5144444,-81.9077778
fort caroline,30.3866667,-81.5005556
fort centre,26.9544444,-81.1619444
fort de soto,27.6152778,-82.7363889
fort drane,29.3861111,-82.2522222
fort drum,27.5263889,-80.8069444
fort florida,28.8675,-81.3547222
fort gadsden,29.9169444,-84.9772222
fort gates,29.4172222,-81.6580556
fort george island,30.4027778,-81.4302778
fort green,27.6122222,-81.9436111
fort green springs,27.5913889,-81.9394444
fort hamer,27.525,-82.4302778
fort jefferson,24.6275,-82.8730556
fort king acres,28.2616667,-82.2
fort kissimmee,27.5858333,-81.1605556
fort lauderdale,26.1219444,-80.1436111
fort lonely,27.6466667,-82.5522222
fort lonesome,27.7044444,-82.1461111
fort mason,28.8766667,-81.7011111
fort matanzas,29.7147222,-81.2388889
fort mccoy,29.3647222,-81.9672222
fort mcree,30.325,-87.315
fort meade,27.7519444,-81.8019444
fort myers,26.6402778,-81.8725
fort myers beach,26.4516667,-81.9483333
fort myers shores,26.7088889,-81.7461111
fort myers villas,26.5611111,-81.8638889
fort ogden,27.0869444,-81.9525
fort peyton,29.8263889,-81.3544444
fort pickens,30.3286111,-87.2991667
fort pierce,27.4463889,-80.3258333
fort pierce shores,27.4863889,-80.2994444
fort redoubt,30.3552778,-87.2969444
fort san carlos,30.3469444,-87.2969444
fort union,30.4072222,-83.0475
fort walton beach,30.4055556,-86.6188889
fort white,29.9230556,-82.7138889
fortymile bend,25.7611111,-80.8272222
fountain,30.4786111,-85.4197222
fountain heights,27.9930556,-81.9566667
fountainbleau,25.7725,-80.3480556
four corners,27.9158333,-82.7297222
four mile village,30.3722222,-86.3219444
four points,30.4,-84.2808333
four seasons,26.2672222,-81.7647222
fowlers bluff,29.3963889,-83.0244444
fox town,28.1522222,-81.9261111
foxleigh,27.4986111,-82.4336111
foxs corner,28.1136111,-82.5808333
francis,29.6341667,-81.7080556
franjo,25.5791667,-80.3363889
franklin,29.7480556,-85.0280556
franklintown,30.5561111,-81.4497222
franwood pines,26.4633333,-80.1172222
freemont,30.6144444,-84.4525
freeport,30.4980556,-86.1361111
frink,30.3683333,-85.2141667
frog city,25.7597222,-80.5991667
frontenac,28.4613889,-80.7636111
frostproof,27.7455556,-81.5308333
fruit cove,30.1108333,-81.6419444
fruita,27.1286111,-80.1694444
fruitland,29.4269444,-81.6438889
fruitland park,28.8611111,-81.9066667
fruitville,27.3294444,-82.4577778
